Order ID,Order Number,Side,Exchange,Symbol,Market,Price,Volume,Disclosed,Value,Fee,Term,Validity,Trigger Type,Trigger Price,Settlement Term,Settlement Date,Settlement Type,Short Sell,Account ID,Account Name,Last Trade ID,Last Trade Ticket,Status,Initiated By,Updated By,Update Type,Update Time,Request ID,Request Type,Request Status
6750,58525243,Buy,BVB,TVBETETF,REGS,24.655000,20,,493.100000,3.270000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,New,2024-03-05 10:15:40,,,
6750,58525243,Buy,BVB,TVBETETF,REGS,24.745000,20,,494.900000,3.280000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,Chg,2024-03-05 11:32:23,,,
6750,58525243,Buy,BVB,TVBETETF,REGS,24.745000,20,,494.900000,3.280000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,Chg,2024-03-05 11:32:44,12177,Change,Deleted
6750,58525243,Buy,BVB,TVBETETF,REGS,24.745000,20,,0.000000,0.000000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],7573,24141773,Inactive,JD123456,JD123456,Fil,2024-03-05 12:06:20,,,
9058,58948320,Buy,BVB,TVBETETF,REGS,25.000000,99,,2475.000000,10.610000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,New,2024-04-11 10:11:27,,,
9058,58948320,Buy,BVB,TVBETETF,REGS,25.000000,99,,2475.000000,10.610000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,New,2024-04-11 15:43:27,16109,Change,Deleted
9058,58948320,Buy,BVB,TVBETETF,REGS,25.700000,96,,2467.200000,10.580000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,Chg,2024-04-11 15:43:55,,,
9058,58948320,Buy,BVB,TVBETETF,REGS,25.700000,96,,2467.200000,10.580000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Inactive,JD123456,RIVER,OOT,2024-04-12 00:00:12,,,
9202,58974306,Buy,BVB,TVBETETF,REGS,25.930000,96,,2489.280000,10.660000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],0,0,Active,JD123456,JD123456,New,2024-04-12 13:26:12,,,
9202,58974306,Buy,BVB,TVBETETF,REGS,25.930000,96,,0.000000,0.000000,Day,,None,,T+2,,Net,No,JD123456RR1,JOHN DOE [RON],10266,24404999,Inactive,JD123456,JD123456,Fil,2024-04-12 14:41:34,,,
